Flight Number,Origin of Flight,Origin Time,Arrival Time,Airlines
BA - 5820,Ahmedabad,08:35,10:25,British Airways
TK - 4683,Ahmedabad,08:45,10:30,Turkish Airlines
UK* - 602,Leh,09:05,10:30,Vistara
6E - 6492,Ahmedabad,08:45,10:30,IndiGo
TG - 323,Bangkok,07:35,10:35,Thai Airways International
NH - 5945,Bangkok,07:35,10:35,ANA
AI - 469,Nagpur,08:55,10:40,Air India
G8 - 116,Bengaluru,07:45,10:40,GoAir
AC - 6441,Kochi,07:30,10:45,Air Canada
6E - 1764,Phuket,07:40,10:45,IndiGo
ET - 1079,Kochi,07:30,10:45,Ethiopian Airlines
VS - 300,London,21:40,10:45,Virgin Atlantic
6E - 885,Guwahati,08:10,10:45,IndiGo
AI - 466,Kochi,07:30,10:45,Air India
SG - 32,Hong Kong,07:40,10:50,SpiceJet
CZ - 3027,Guangzhou,07:30,10:50,China Southern Airlines
G8 - 2516,Nagpur,09:10,10:50,GoAir
KB - 204,Kathmandu,09:20,10:55,Drukair
6E - 2018,Nagpur,09:15,10:55,IndiGo
6E - 6367,Patna,09:05,10:55,IndiGo
UK* - 794,Raipur,08:55,10:55,Vistara
I5* - 719,Hyderabad,08:45,11:00,AirAsia India
UK* - 983,Ranchi,08:55,11:00,Vistara
SQ - 4742,Mumbai,08:45,11:00,Singapore Airlines
AI - 214,Kathmandu,09:50,11:00,Air India
UK* - 970,Mumbai,08:45,11:00,Vistara
BA - 5848,Mumbai,08:45,11:00,British Airways
TP - 7022,London,21:30,11:05,TAP Portugal
LO - 4503,London,21:30,11:05,LOT - Polish Airlines
AV - 2400,London,21:30,11:05,AVIANCA
6E - 2216,Mumbai,08:40,11:05,IndiGo
I5* - 778,Goa,08:20,11:05,AirAsia India
AC - 6386,London,21:30,11:05,Air Canada
AI - 112,London,21:30,11:05,Air India
AI - 635,Indore,09:15,11:10,Air India
SG - 8998,Patna,09:25,11:10,SpiceJet
6E - 509,Indore,09:45,11:15,IndiGo
6E - 854,Kolkata,09:00,11:20,IndiGo
AI - 452,Vishakhapatnam,08:40,11:20,Air India
K4 - 250,Hong Kong,07:45,11:20,Kalitta Air
TK - 4674,Bengaluru,08:30,11:20,Turkish Airlines
6E - 2367,Bengaluru,08:30,11:20,IndiGo
G8 - 720,Ahmedabad,09:30,11:20,GoAir
6E - 2726,Vishakhapatnam,08:55,11:25,IndiGo
TK - 4667,Chennai,08:30,11:25,Turkish Airlines
6E - 2394,Chennai,08:30,11:25,IndiGo
AI - 460,Vijayawada,09:05,11:30,Air India
MK - 8024,Mumbai,09:00,11:30,Air Mauritius
HM - 6506,Mumbai,09:00,11:30,Air Seychelles
AC - 6407,Mumbai,09:00,11:30,Air Canada
AI - 866,Mumbai,09:00,11:30,Air India
SG - 88,Bangkok,07:50,11:30,SpiceJet
6E - 2486,Raipur,09:40,11:35,IndiGo
AI - 381,Singapore,08:35,11:35,Air India
UU - 7980,Chennai,08:40,11:35,Air Austral
AI - 143,Chennai,08:40,11:35,Air India
6E - 398,Ranchi,09:40,11:40,IndiGo
6E - 6126,Mumbai,09:35,11:45,IndiGo
AI - 867,Mumbai,09:30,11:45,Air India
G8 - 32,Phuket,08:05,11:45,GoAir
6E - 203,Jaipur,10:40,11:50,IndiGo
UW* - 9899,Kunming,09:40,11:50,Uni-Top Airlines
AI - 282,Colombo,08:20,11:50,Air India
G8 - 194,Leh,10:25,11:55,GoAir
I5* - 789,Guwahati,09:05,11:55,AirAsia India
6E - 243,Varanasi,10:20,11:55,IndiGo
SQ - 4708,Bhubaneswar,09:40,12:00,Singapore Airlines
UK* - 786,Bhubaneswar,09:40,12:00,Vistara
AI - 333,Bangkok,08:55,12:00,Air India
BA - 5830,Bhubaneswar,09:40,12:00,British Airways
BA - 5830,Bhubaneswar,09:40,12:00,British Airways
SQ - 4708,Bhubaneswar,09:40,12:00,Singapore Airlines
AI - 333,Bangkok,08:55,12:00,Air India
UK* - 786,Bhubaneswar,09:40,12:00,Vistara
6E - 918,Kolkata,09:30,12:05,IndiGo
AI - 78,Bhubaneswar,09:45,12:05,Air India
UL - 3620,Bhubaneswar,09:45,12:05,SriLankan Airlines
CD - 806,Kulu,10:50,12:10,Alliance Air
6E - 2256,Bhubaneswar,09:35,12:10,IndiGo
SG - 6702,Mumbai,10:10,12:10,SpiceJet
AI - 9806,Kulu,10:50,12:10,Air India
G8 - 319,Mumbai,09:55,12:10,GoAir
AC - 6405,Mumbai,10:00,12:15,Air Canada
HM - 6508,Mumbai,10:00,12:15,Air Seychelles
6E - 423,Lucknow,10:45,12:15,IndiGo
AI - 809,Mumbai,10:00,12:15,Air India
